"budget","revenue","runtime","vote_average","vote_count","ru","net.revenue","ratio","ratio_indicator","studio","studio_unclass","actor","actor_unclass","genre","genre_unclass"
189456655.5,369841925.5,"110","6.2","3051","FALSE",180385270,0.9521189399440232,"No.Profit","Warner.Bros",1,"Dwayne.Johnson",1,"Action",1
23765267.33,5729405.6,"136","6.896","9120","FALSE",-18035861.729999997,0.7589168461502006,"No.Profit","Universal",2,"Dwayne.Johnson",1,"Action",1
18371333.02,55282162.89,"92","5.549","2668","FALSE",36910829.870000005,2.009153599785978,"Profit","Universal",2,"Dwayne.Johnson",1,"Action",1
27887109.78,65069922.81,"130","6.222","3845","FALSE",37182813.03,1.3333333329747448,"Profit","Paramount",4,"Dwayne.Johnson",1,"Action",1
17486620.06,17799685.2,"105","5.9","2008","FALSE",313065.1400000006,0.01790312472769541,"No.Profit","Warner.Bros",1,"Samuel.L..Jackson",2,"Action",1
70426920.42,52582324.7,"140","7.069","1675","FALSE",-17844595.72,0.2533774814173537,"No.Profit","Warner.Bros",1,"Samuel.L..Jackson",2,"Action",1
13336584,57599900.76,"128","6.215","564","FALSE",44263316.76,3.3189395995256357,"Profit","Paramount",4,"Samuel.L..Jackson",2,"Action",1
106876800.7,89191272.45,"97","5.5","420","FALSE",-17685528.25,0.16547583885526992,"No.Profit","Paramount",4,"Samuel.L..Jackson",2,"Action",1
232634909.5,1413037528,"126","7.631","23411","FALSE",1180402618.5,5.07405625852555,"Profit","Marvel",7,"Samuel.L..Jackson",2,"Action",1
5716251.366,70616500.09,"106","5.934","369","FALSE",64900248.72400001,11.353637999550491,"Profit","Universal",2,"Tom.Hanks",3,"Action",1
189456655.5,521771422.2,"90","6.2","571","FALSE",332314766.7,1.7540411331709589,"Profit","Paramount",4,"Johnny.Depp",4,"Action",1
1238992.119,2086723.568,"103","6.2","4821","FALSE",847731.449,0.68421052563612,"No.Profit","Columbia",5,"Johnny.Depp",4,"Action",1
32881353.02,51936718.55,"149","6.083","5245","FALSE",19055365.529999997,0.5795188999190398,"No.Profit","Walt.Disney",8,"Johnny.Depp",4,"Action",1
3476251.981,3276455.669,"116","5.3","513","FALSE",-199796.31199999992,0.057474634489104344,"No.Profit","Columbia",5,"Harrison.Ford",5,"Action",1
110183482.7,57108034.8,"132","6.387","5219","FALSE",-53075447.900000006,0.48170058342147504,"No.Profit","Columbia",5,"Denzel.Washington",6,"Action",1
1626713.192,1626713.192,"140","7.7","18297","FALSE",0,0,"No.Profit","Warner.Bros",1,"Morgan.Freeman",7,"Action",1
124190760.3,137502172.9,"120","6.2","2490","FALSE",13311412.600000009,0.10718520901107656,"No.Profit","Paramount",4,"Morgan.Freeman",7,"Action",1
81335659.61,21570298.26,"126","7.4","1138","FALSE",-59765361.349999994,0.7347990000520265,"No.Profit","Warner.Bros",1,"Robert.De.Niro",8,"Action",1
15802695.54,18591406.52,"124","6.7","1354","FALSE",2788710.9800000004,0.17647058838418908,"No.Profit","Paramount",4,"Robert.De.Niro",8,"Action",1
1807720.361,103516.0936,"121","6.8","1851","FALSE",-1704204.2674,0.942736666669652,"No.Profit","Columbia",5,"Bruce.Willis",9,"Action",1
232634909.5,1413037528,"126","7.631","23411","FALSE",1180402618.5,5.07405625852555,"Profit","Marvel",7,"Robert.Downey.Jr.",11,"Action",1
282251727.9,1302126004,"147","7.4","20354","FALSE",1019874276.1,3.6133499826131628,"Profit","Marvel",7,"Robert.Downey.Jr.",11,"Action",1
12585536.63,1258553.663,"114","7.6","12010","FALSE",-11326982.967,0.8999999999999999,"No.Profit","Warner.Bros",1,"Tom.Cruise",12,"Action",1
182490281.1,507763261.3,"110","5.506","6357","FALSE",325272980.20000005,1.782412620767233,"Profit","Universal",2,"Tom.Cruise",12,"Action",1
2858125.683,7250131.965,"109","6.2","3864","FALSE",4392006.282,1.5366735998082417,"Profit","X20th.Century.Fox",3,"Tom.Cruise",12,"Action",1
34370062.01,79289441.72,"131","7.2","7523","FALSE",44919379.71,1.3069333333448938,"Profit","Paramount",4,"Tom.Cruise",12,"Action",1
189456655.5,369841925.5,"110","6.2","3051","FALSE",180385270,0.9521189399440232,"No.Profit","Warner.Bros",1,"Dwayne.Johnson",1,"Comedy",2
27887109.78,65069922.81,"130","6.222","3845","FALSE",37182813.03,1.3333333329747448,"Profit","Paramount",4,"Dwayne.Johnson",1,"Comedy",2
21242432,3204791.644,"123","6.7","1021","FALSE",-18037640.356,0.8491325454637209,"No.Profit","Universal",2,"Samuel.L..Jackson",2,"Comedy",2
31796818.59,128830904.9,"98","5.9","1104","FALSE",97034086.31,3.0516916664271854,"Profit","Universal",2,"Tom.Hanks",3,"Comedy",2
5716251.366,70616500.09,"106","5.934","369","FALSE",64900248.72400001,11.353637999550491,"Profit","Universal",2,"Tom.Hanks",3,"Comedy",2
10469785.89,21265743.29,"83","5.574","1392","FALSE",10795957.399999999,1.0311535988822402,"Profit","Universal",2,"Harrison.Ford",5,"Comedy",2
55272970.51,147591936.5,"110","7","1114","FALSE",92318965.99000001,1.6702371003074215,"Profit","Universal",2,"Harrison.Ford",5,"Comedy",2
12630443.7,280149.5565,"114","6.612","753","FALSE",-12350294.143499998,0.9778194999990379,"No.Profit","X20th.Century.Fox",3,"Harrison.Ford",5,"Comedy",2
3476251.981,3276455.669,"116","5.3","513","FALSE",-199796.31199999992,0.057474634489104344,"No.Profit","Columbia",5,"Harrison.Ford",5,"Comedy",2
416253936.4,593855616,"108","6.7","5146","FALSE",177601679.60000002,0.42666666683323173,"No.Profit","Universal",2,"Robert.De.Niro",8,"Comedy",2
24819333.54,344988736.2,"111","6.639","488","FALSE",320169402.65999997,12.899999999758252,"Profit","X20th.Century.Fox",3,"Robert.De.Niro",8,"Comedy",2
107532123.5,137558472.9,"98","6.5","1538","FALSE",30026349.400000006,0.27923143729231764,"No.Profit","Warner.Bros",1,"Bruce.Willis",9,"Comedy",2
13488768.23,33494366.13,"96","6","253","FALSE",20005597.9,1.483130079698908,"Profit","Universal",2,"Bruce.Willis",9,"Comedy",2
19425183.7,45296123.43,"80","6.6","539","FALSE",25870939.73,1.3318247142239381,"Profit","Paramount",4,"Bruce.Willis",9,"Comedy",2
94414547.04,111723880.7,"84","6.2","254","FALSE",17309333.659999996,0.18333333371463045,"No.Profit","Paramount",4,"Bruce.Willis",9,"Comedy",2
248532827.7,417989562.9,"102","5.919","707","FALSE",169456735.2,0.6818283796478931,"No.Profit","Universal",2,"Meryl.Streep",10,"Comedy",2
1688187.655,16050800.53,"108","6.8","4437","FALSE",14362612.875,8.507711114023044,"Profit","Paramount",4,"Meryl.Streep",10,"Comedy",2
42162249.42,252779018.9,"100","6.3","674","FALSE",210616769.48000002,4.995387399328183,"Profit","Columbia",5,"Meryl.Streep",10,"Comedy",2
82264386.91,204758428.2,"131","6.5","2915","FALSE",122494041.28999999,1.4890287995948064,"Profit","Walt.Disney",8,"Meryl.Streep",10,"Comedy",2
2858125.683,7250131.965,"109","6.2","3864","FALSE",4392006.282,1.5366735998082417,"Profit","X20th.Century.Fox",3,"Tom.Cruise",12,"Comedy",2
70426920.42,52582324.7,"140","7.069","1675","FALSE",-17844595.72,0.2533774814173537,"No.Profit","Warner.Bros",1,"Samuel.L..Jackson",2,"Drama",3
28227182.42,10166049.32,"120","7.8","1374","FALSE",-18061133.1,0.6398489523773021,"No.Profit","Universal",2,"Samuel.L..Jackson",2,"Drama",3
1079101.458,81431194.16,"113","6.649","497","FALSE",80352092.70199999,74.46203700894266,"Profit","Universal",2,"Samuel.L..Jackson",2,"Drama",3
45761274.55,40283431.13,"129","6.5","185","FALSE",-5477843.419999994,0.11970478256707548,"No.Profit","Universal",2,"Samuel.L..Jackson",2,"Drama",3
13336584,57599900.76,"128","6.215","564","FALSE",44263316.76,3.3189395995256357,"Profit","Paramount",4,"Samuel.L..Jackson",2,"Drama",3
106876800.7,89191272.45,"97","5.5","420","FALSE",-17685528.25,0.16547583885526992,"No.Profit","Paramount",4,"Samuel.L..Jackson",2,"Drama",3
14207878.8,81521409.58,"165","8.154","23140","FALSE",67313530.78,4.73776076834214,"Profit","Columbia",5,"Samuel.L..Jackson",2,"Drama",3
31796818.59,128830904.9,"98","5.9","1104","FALSE",97034086.31,3.0516916664271854,"Profit","Universal",2,"Tom.Hanks",3,"Drama",3
141621820.6,676058734.7,"143","7.7","9708","FALSE",534436914.1,3.773690465464896,"Profit","X20th.Century.Fox",3,"Tom.Hanks",3,"Drama",3
25919784.77,427676448.8,"118","7.7","3254","FALSE",401756664.03000003,15.500000003665155,"Profit","Paramount",4,"Johnny.Depp",4,"Drama",3
22679811.68,37259690.61,"105","7.152","5708","FALSE",14579878.93,0.6428571425421995,"No.Profit","Paramount",4,"Johnny.Depp",4,"Drama",3
112120.2453,1972661.299,"119","6.4","383","FALSE",1860541.0537,16.594157894693797,"Profit","Warner.Bros",1,"Harrison.Ford",5,"Drama",3
55272970.51,147591936.5,"110","7","1114","FALSE",92318965.99000001,1.6702371003074215,"Profit","Universal",2,"Harrison.Ford",5,"Drama",3
12630443.7,280149.5565,"114","6.612","753","FALSE",-12350294.143499998,0.9778194999990379,"No.Profit","X20th.Century.Fox",3,"Harrison.Ford",5,"Drama",3
21197879.06,73945073.46,"130","6.4","1508","FALSE",52747194.39999999,2.4883241502935527,"Profit","X20th.Century.Fox",3,"Harrison.Ford",5,"Drama",3
5364999.863,40237498.97,"112","7.1","1279","FALSE",34872499.107,6.499999999534017,"Profit","Paramount",4,"Harrison.Ford",5,"Drama",3
2286500.546,1688582.94,"107","6.1","967","FALSE",-597917.6060000001,0.26149899987821834,"No.Profit","Columbia",5,"Harrison.Ford",5,"Drama",3
33246122.39,39687769.71,"157","7.582","4525","FALSE",6441647.32,0.1937563498213423,"No.Profit","Universal",2,"Denzel.Washington",6,"Drama",3
18130119.88,68894455.53,"146","7.444","1173","FALSE",50764335.650000006,2.7999999992278046,"Profit","Universal",2,"Denzel.Washington",6,"Drama",3
45761274.55,40283431.13,"129","6.5","185","FALSE",-5477843.419999994,0.11970478256707548,"No.Profit","Universal",2,"Denzel.Washington",6,"Drama",3
12670043.54,29792728.95,"120","6.831","375","FALSE",17122685.41,1.3514306684063693,"Profit","X20th.Century.Fox",3,"Denzel.Washington",6,"Drama",3
1626713.192,1626713.192,"140","7.7","18297","FALSE",0,0,"No.Profit","Warner.Bros",1,"Morgan.Freeman",7,"Drama",3
53047863.54,175317923.4,"125","7.1","350","FALSE",122270059.86000001,2.3049007387037177,"Profit","X20th.Century.Fox",3,"Morgan.Freeman",7,"Drama",3
124190760.3,137502172.9,"120","6.2","2490","FALSE",13311412.600000009,0.10718520901107656,"No.Profit","Paramount",4,"Morgan.Freeman",7,"Drama",3
81335659.61,21570298.26,"126","7.4","1138","FALSE",-59765361.349999994,0.7347990000520265,"No.Profit","Warner.Bros",1,"Robert.De.Niro",8,"Drama",3
