"budget","revenue","runtime","vote_average","vote_count","ru","net.revenue","ratio","ratio_indicator","studio_unclass","actor_unclass","genre_unclass"
9295703.259,72506485.42,"114","6.206","7370","FALSE",63210782.161,6.799999999978485,"Profit",1,1,1
8940437.173,644206.1807,"105","7.467","849","FALSE",-8296230.9923,0.92794466666065345,"No.Profit",1,1,1
56450345.58,244963500.7,"107","6.401","5043","FALSE",188513155.12,3.3394508604529967,"Profit",1,1,1
12635895.08,76076175.34,"137","6.9","5895","FALSE",63440280.260000005,5.020639998856338,"Profit",2,1,1
56450345.58,244963500.7,"107","6.401","5043","FALSE",188513155.12,3.3394508604529967,"Profit",2,1,1
29869211.16,243434071,"130","6.319","5944","FALSE",213564859.84,7.1500000015400476,"Profit",2,1,1
77833240.52,242448147.4,"137","7.236","9349","FALSE",164614906.88,2.1149692057046066,"Profit",2,1,1
2858.125683,5716.251366,"104","6.44","1672","FALSE",2858.125683,1,"Profit",2,1,1
29823939.32,28682833.15,"130","7.2","6907","FALSE",-1141106.1700000018,0.03826141670140716,"No.Profit",2,1,1
150579462.2,754267795,"131","6.812","9472","FALSE",603688332.8,4.00910140054943,"Profit",2,1,1
39765252.42,22877311.33,"84","5.8","183","FALSE",-16887941.090000004,0.42469090631262246,"No.Profit",3,1,1
8101473.839,200327353.1,"116","6.109","7114","FALSE",192225879.261,23.72727272606083,"Profit",4,1,1
12575753.01,46873261.2,"110","5.6","4964","FALSE",34297508.190000005,2.7272727257546547,"Profit",4,1,1
39765252.42,22877311.33,"84","5.8","183","FALSE",-16887941.090000004,0.42469090631262246,"No.Profit",4,1,1
23603636.76,17109722.39,"99","5.749","3609","FALSE",-6493914.370000001,0.27512346660938874,"No.Profit",4,1,1
44498947.77,73779505.09,"119","6.8","12034","FALSE",29280557.32,0.6580056110841381,"No.Profit",5,1,1
2858.125683,5716.251366,"104","6.44","1672","FALSE",2858.125683,1,"Profit",5,1,1
87560343.62,33223384.49,"125","7","800","FALSE",-54336959.13000001,0.6205658507442026,"No.Profit",5,1,1
45784259.13,225237028.3,"107","6.3","3525","FALSE",179452769.17000002,3.9195298248784836,"Profit",5,1,1
23475640.14,15769518.68,"98","5.8","1465","FALSE",-7706121.460000001,0.3282603334368543,"No.Profit",8,1,1
109685849.2,198223087.6,"127","7.498","4649","FALSE",88537238.39999999,0.8071892504434381,"No.Profit",8,1,1
53642623.04,8778317.246,"109","5.9","5648","FALSE",-44864305.794,0.8363555555541305,"No.Profit",1,2,1
264973488.3,1138478993,"98","6.1","1651","FALSE",873505504.7,3.296576990793233,"Profit",1,2,1
12817333.57,64799461.94,"111","6.547","1438","FALSE",51982128.37,4.055611729702373,"Profit",1,2,1
22892129.56,16838277.29,"153","8.21","19302","FALSE",-6053852.27,0.2644512496809406,"No.Profit",2,2,1
15780467.22,24459748.58,"129","7.638","14777","FALSE",8679281.359999998,0.55000154551824465,"No.Profit",3,2,1
45578963.24,102177692.5,"101","5.6","244","FALSE",56598729.26,1.241773073292046,"Profit",3,2,1
8654666.812,26121358.01,"128","7.235","5185","FALSE",17466691.198,2.0181818176734216,"Profit",3,2,1
83751113.97,626737502.9,"117","6.7","1308","FALSE",542986388.93,6.4833333336258665,"Profit",4,2,1
101749.2743,82314.01967,"99","6","1051","FALSE",-19435.25463000001,0.19101123584131557,"No.Profit",4,2,1
11.44606478,114.4606478,"107","6.04","6961","FALSE",103.01458302,9,"Profit",4,2,1
4519300.903,18077203.61,"117","6.1","2096","FALSE",13557902.706999999,2.9999999995574536,"Profit",5,2,1
7651630.742,51444502.79,"124","5.9","3576","FALSE",43792872.048,5.723338399959605,"Profit",5,2,1
200000000,1916050911,"129","7.486","13199","FALSE",1716050911,8.580254555,"Profit",5,2,1
2526088.74,17133271.4,"101","5","1555","FALSE",14607182.659999998,5.782529500527364,"Profit",5,2,1
2950532.77,3924253.433,"118","5.8","4795","FALSE",973720.6630000002,0.3300152002717801,"No.Profit",5,2,1
45784259.13,225237028.3,"107","6.3","3525","FALSE",179452769.17000002,3.9195298248784836,"Profit",5,2,1
129567939.1,1412119318,"118","7.5","11257","FALSE",1282551378.9,9.898678545084616,"Profit",6,2,1
27786976.14,52758838.57,"115","7.7","15612","FALSE",24971862.43,0.8986894545193934,"No.Profit",6,2,1
3776855.104,2158202.916,"143","7.706","27614","FALSE",-1618652.1879999996,0.42857142872272597,"No.Profit",7,2,1
377322247.3,2965371900,"141","7.288","20484","FALSE",2588049652.7,6.858990349016719,"Profit",7,2,1
161103880.9,1195853005,"124","6.891","13529","FALSE",1034749124.1,6.422869010475837,"Profit",7,2,1
100421155,254534761.6,"149","8.266","25594","FALSE",154113606.6,1.5346727151266084,"Profit",7,2,1
20633404.67,27539332.06,"124","6.833","18499","FALSE",6905927.389999997,0.334696454630238,"No.Profit",7,2,1
323730437.4,2208100176,"181","8.278","21851","FALSE",1884369738.6,5.82079879091406,"Profit",7,2,1
200000000,1916050911,"129","7.486","13199","FALSE",1716050911,8.580254555,"Profit",7,2,1
197739673.1,749749048.9,"115","6.8","18875","FALSE",552009375.8,2.791596482112319,"Profit",7,2,1
168648997.7,446401578.3,"124","6.988","19106","FALSE",277752580.6,1.6469269570998466,"Profit",7,2,1
194583101.3,818126448.7,"136","7.7","16610","FALSE",623543347.4000001,3.204509246867472,"Profit",7,2,1
129567939.1,1412119318,"118","7.5","11257","FALSE",1282551378.9,9.898678545084616,"Profit",8,2,1
27786976.14,52758838.57,"115","7.7","15612","FALSE",24971862.43,0.8986894545193934,"No.Profit",8,2,1
17703196.62,18421409.41,"90","5.779","215","FALSE",718212.7899999991,0.040569666903467916,"No.Profit",3,3,1
63974600.11,254493065.8,"134","7.6","5980","FALSE",190518465.69,2.978032928106098,"Profit",5,3,1
7668863.404,1637536.981,"121","6","5609","FALSE",-6031326.423,0.7864694029957715,"No.Profit",5,3,1
137190032.8,192040432.5,"134","6.9","9603","FALSE",54850399.69999999,0.39981329970204643,"No.Profit",1,4,1
200000000,405161334,"132","7.349","17110","FALSE",205161334,1.02580667,"Profit",1,4,1
14624779.9,391540252.5,"140","6.67","3840","FALSE",376915472.6,25.772385989891035,"Profit",2,4,1
34976500.45,52930846.47,"109","6.869","9079","FALSE",17954346.019999996,0.5133259699799382,"No.Profit",5,4,1
100689925.5,396666633.6,"102","6.3","1807","FALSE",295976708.1,2.9394868119154585,"Profit",5,4,1
206219334.1,964828417.4,"151","7.33","13905","FALSE",758609083.3,3.678651599816217,"Profit",8,4,1
354828.0083,1373527.774,"129","6.6","10489","FALSE",1018699.7657,2.87096774175366,"Profit",8,4,1
36192243.03,83694812.21,"137","6.527","12340","FALSE",47502569.17999999,1.312506913169896,"Profit",8,4,1
20063622.84,136196592.7,"143","7.779","18000","FALSE",116132969.85999998,5.788235294598469,"Profit",8,4,1
457761565.2,1259704176,"169","7.232","12472","FALSE",801942610.8,1.7518784270357524,"Profit",8,4,1
97801615.99,226900522.6,"105","5.8","774","FALSE",129098906.61,1.320007908899993,"Profit",1,5,1
22846197.62,99692498.72,"131","7.4","3470","FALSE",76846301.1,3.363636364273032,"Profit",1,5,1
196355618.7,210597213.5,"119","5.6","4445","FALSE",14241594.800000012,0.07252960161918715,"No.Profit",2,5,1
156788982.7,1179386153,"121","8.207","17812","FALSE",1022597170.3,6.522123893466655,"Profit",3,5,1
73035324.88,868598685.2,"122","6","6905","FALSE",795563360.32,10.892857143130984,"Profit",4,5,1
83751113.97,626737502.9,"117","6.7","1308","FALSE",542986388.93,6.4833333336258665,"Profit",4,5,1
118372870.9,23016947.11,"115","7.9","10418","FALSE",-95355923.79,0.8055555556353411,"No.Profit",4,5,1
113342044.2,394663792.9,"141","6.605","1185","FALSE",281321748.7,2.482059951235642,"Profit",4,5,1
31.40935766,72.24152262,"127","7.8","8408","FALSE",40.83216496,1.3000000000636753,"Profit",4,5,1
708815.1694,1600550.382,"118","7.287","7650","FALSE",891735.2126,1.2580645154008747,"Profit",4,5,1
62192610.77,35070387.3,"141","6.6","1250","FALSE",-27122223.470000006,0.43610041666047916,"No.Profit",1,6,1
22734798.66,97521974.75,"124","6.75","1109","FALSE",74787176.09,3.2895464441293627,"Profit",1,6,1
27688180.58,29614813.55,"122","7.463","4808","FALSE",1926632.9700000025,0.06958322755925925,"No.Profit",1,6,1
180376705.8,165487976.8,"115","6.428","3047","FALSE",-14888729,0.08254241551848986,"No.Profit",2,6,1
9441704.865,1951826.997,"109","6.52","3555","FALSE",-7489877.868000001,0.793275999948342,"No.Profit",2,6,1
44049378.2,66274924.91,"98","6.542","2981","FALSE",22225546.709999993,0.5045598284971929,"No.Profit",3,6,1
37802792.02,542654945,"116","6.3","1084","FALSE",504852152.98,13.354890631170898,"Profit",3,6,1
523428.5464,16284.44367,"106","5.5","426","FALSE",-507144.10273,0.9688888888808224,"No.Profit",4,6,1
26362749.31,201420845.3,"121","6.647","4138","FALSE",175058095.99,6.640358102695929,"Profit",5,6,1
1043051.004,87616284.3,"132","7.2","7456","FALSE",86573233.296,82.99999996548587,"Profit",5,6,1
65068527.69,209517836.8,"106","6.323","2661","FALSE",144449309.11,2.2199566247785194,"Profit",5,6,1
36139070.93,77851733.45,"152","8.5","28452","FALSE",41712662.52,1.154226200247257,"Profit",1,7,1
36689449.58,44396801.17,"165","7.77","20071","FALSE",7707351.590000004,0.21006997047460213,"No.Profit",1,7,1
72585812.23,94737287.03,"143","6.838","2692","FALSE",22151474.799999997,0.30517637151747273,"No.Profit",1,7,1
62927683.14,8852267.503,"127","6.5","1852","FALSE",-54075415.637,0.8593263399940264,"No.Profit",1,7,1
25000000,331091,"124","6.603","9496","FALSE",-24668909,0.98675636,"No.Profit",2,7,1
55774219.55,116196290.7,"110","6.498","6167","FALSE",60422071.150000006,1.0833333328103918,"Profit",2,7,1
8233286.042,52274832.01,"107","5.7","837","FALSE",44041545.967999995,5.349206348878604,"Profit",3,7,1
43771653.92,21887544,"124","6.3","1391","FALSE",-21884109.92,0.49996077278681,"No.Profit",4,7,1
13594642.15,25175263.24,"97","5.838","565","FALSE",11580621.089999998,0.851851851797364,"No.Profit",4,7,1
20229907.21,139270167.4,"104","6.3","1477","FALSE",119040260.19,5.884370054409161,"Profit",4,7,1
139435548.9,1524495334,"125","5.7","1487","FALSE",1385059785.1,9.933333328743398,"Profit",4,7,1
209099328,1062966079,"95","5.5","814","FALSE",853866751,4.08354612693925,"Profit",1,8,1
61900214.02,11001260.55,"170","7.9","5804","FALSE",-50898953.47,0.8222742728087259,"No.Profit",1,8,1
14603865.8,3452277.359,"126","7.2","837","FALSE",-11151588.441,0.763605239442833,"No.Profit",2,8,1
110183482.7,42302357.33,"105","6.8","1503","FALSE",-67881125.37,0.6160735139841428,"No.Profit",1,9,1
31066603.46,153191667.1,"99","6.1","433","FALSE",122125063.63999999,3.931072278218083,"Profit",1,9,1
14934605.58,373365139.5,"124","6.3","1545","FALSE",358430533.92,24,"Profit",2,9,1
2221680.36,1871416.769,"111","6.2","1258","FALSE",-350263.5909999998,0.15765705873188698,"No.Profit",2,9,1
889105.5999,2042723.672,"128","6.594","4978","FALSE",1153618.0721,1.297503999783322,"Profit",3,9,1
